City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
1,Katobu,ID,87.31,broken clouds,-4.9408,122.5276,La Ode Husein
2,San Nicolas,PH,79.95,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
12,Rikitea,PF,77.5,light rain,-23.1203,-134.9692,People ThankYou
13,Yarada,IN,79.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
15,Boyolangu,ID,88.81,overcast clouds,-8.1181,111.8935,Yos ega cv
17,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Saint-Joseph,RE,83.1,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
19,Soyo,AO,76.59,overcast clouds,-6.1349,12.3689,Hotel Mpampa
28,Port Blair,IN,83.5,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
37,Totness,SR,76.59,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
45,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Busselton,AU,81.05,clear sky,-33.65,115.3333,Observatory Guest House
49,Cururupu,BR,75.78,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
52,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
54,Atuona,PF,78.24,scattered clouds,-9.8,-139.0333,Villa Enata
59,Bosaso,SO,75.27,clear sky,11.2842,49.1816,Red Sea Hotel
64,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
66,Faanui,PF,80.62,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
67,Haapiti,PF,80.33,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
80,Alugan,PH,81.77,overcast clouds,12.2188,125.4808,JM Lodge
81,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
89,Luwuk,ID,86.4,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
