City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Touros,BR,-5.1989,-35.4608,79.7,77,57,12.01,broken clouds
1,Katobu,ID,-4.9408,122.5276,87.31,65,78,2.55,broken clouds
2,San Nicolas,PH,18.1725,120.5953,79.95,68,100,12.12,overcast clouds
3,Barrow,US,71.2906,-156.7887,-2.18,71,90,8.05,overcast clouds
4,Cascais,PT,38.6979,-9.4215,52.05,65,97,1.01,overcast clouds
5,Mbuji-Mayi,CD,-6.15,23.6,67.28,93,42,2.08,scattered clouds
6,Bluff,NZ,-46.6,168.3333,66.79,64,61,16.17,moderate rain
7,Marondera,ZW,-18.1853,31.5519,54.54,95,100,4.65,overcast clouds
8,Hobart,AU,-42.8794,147.3294,64.26,58,75,5.01,broken clouds
9,Ushuaia,AR,-54.8,-68.3,44.26,100,75,39.12,moderate rain
10,Qrendi,MT,35.8347,14.4583,50.11,53,20,9.22,few clouds
11,Lompoc,US,34.6391,-120.4579,51.12,93,1,0.0,clear sky
12,Rikitea,PF,-23.1203,-134.9692,77.5,74,100,12.33,light rain
13,Yarada,IN,17.65,83.2667,79.12,47,5,4.61,haze
14,Basco,PH,20.4487,121.9702,72.99,76,100,31.03,overcast clouds
15,Boyolangu,ID,-8.1181,111.8935,88.81,63,89,1.57,overcast clouds
16,Nikolskoye,RU,59.7035,30.7861,33.69,95,100,11.54,light snow
17,Vaini,TO,-21.2,-175.2,84.36,89,20,10.36,few clouds
18,Saint-Joseph,RE,-21.3667,55.6167,83.1,69,57,4.68,broken clouds
19,Soyo,AO,-6.1349,12.3689,76.59,91,100,6.17,overcast clouds
20,Saint George,US,37.1041,-113.5841,35.8,70,1,1.01,clear sky
21,Coihaique,CL,-45.5752,-72.0662,59.61,63,5,3.44,clear sky
22,Qaanaaq,GL,77.484,-69.3632,9.3,75,100,8.23,overcast clouds
23,Torbay,CA,47.6666,-52.7314,26.58,74,100,11.01,overcast clouds
24,Cherskiy,RU,68.75,161.3,-20.88,96,100,1.05,overcast clouds
25,Jamestown,US,42.097,-79.2353,33.12,98,90,7.0,light snow
26,Provideniya,RU,64.3833,-173.3,3.69,97,100,19.19,light snow
27,Longyearbyen,SJ,78.2186,15.6401,22.84,80,20,5.75,few clouds
28,Port Blair,IN,11.6667,92.75,83.5,67,86,12.71,overcast clouds
29,Juneau,US,58.3019,-134.4197,26.22,91,75,0.0,broken clouds
30,New Norfolk,AU,-42.7826,147.0587,63.9,49,100,4.0,light rain
31,Megion,RU,61.0296,76.1136,-30.98,98,27,8.68,scattered clouds
32,Rafsanjan,IR,30.4067,55.9939,59.49,31,89,4.45,overcast clouds
33,Beringovskiy,RU,63.05,179.3167,33.64,98,100,14.47,light rain
34,Chokurdakh,RU,70.6333,147.9167,-39.68,100,82,2.51,broken clouds
35,El Astillero,ES,43.4009,-3.8205,47.88,69,0,1.14,clear sky
36,Tilichiki,RU,60.4667,166.1,-8.99,95,80,6.2,broken clouds
37,Totness,SR,5.8833,-56.3167,76.59,92,99,7.4,overcast clouds
38,Lebu,CL,-37.6167,-73.65,55.36,94,10,17.47,clear sky
39,Roma,US,43.2128,-75.4557,35.96,96,90,10.36,light snow
40,Port Elizabeth,ZA,-33.918,25.5701,64.96,75,97,11.34,overcast clouds
41,Codajas,BR,-3.8367,-62.0569,73.89,99,100,2.28,overcast clouds
42,Ust-Uda,RU,54.1742,103.0304,20.3,83,100,12.46,overcast clouds
43,Codrington,AU,-38.2667,141.9667,63.59,44,51,25.26,broken clouds
44,Ubinskoye,RU,55.3068,79.6802,5.47,96,100,7.52,overcast clouds
45,Kapaa,US,22.0752,-159.319,75.52,80,40,5.01,light rain
46,Busselton,AU,-33.65,115.3333,81.05,46,0,11.7,clear sky
47,Arriaga,MX,16.2333,-93.9,74.55,81,1,3.2,clear sky
48,Deputatskiy,RU,69.3,139.9,-27.35,99,100,2.08,overcast clouds
49,Cururupu,BR,-1.8283,-44.8683,75.78,94,96,3.83,overcast clouds
50,Lentekhi,GE,42.7856,42.7261,37.74,99,100,4.18,overcast clouds
51,Chernyshevskiy,RU,63.0128,112.4714,-36.74,99,96,2.77,overcast clouds
52,Georgetown,MY,5.4112,100.3354,79.9,85,40,4.61,scattered clouds
53,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,89,99,16.31,overcast clouds
54,Atuona,PF,-9.8,-139.0333,78.24,75,32,14.61,scattered clouds
55,Olafsvik,IS,64.8945,-23.7142,44.82,97,100,20.29,light rain
56,Nouakchott,MR,18.0858,-15.9785,69.55,60,100,17.22,overcast clouds
