City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2021-12-18 05:55:41,-20.3428,57.7575,83.21,69,40,11.5
1,Rognan,NO,2021-12-18 05:55:42,67.0953,15.3878,43.88,89,100,18.95
2,Paamiut,GL,2021-12-18 05:55:42,61.994,-49.6678,11.97,73,0,7.58
3,Viedma,AR,2021-12-18 05:55:42,-40.8135,-62.9967,71.38,59,71,13.96
4,Maldonado,UY,2021-12-18 05:55:43,-34.6667,-54.9167,61.99,94,1,5.95
5,Albany,US,2021-12-18 05:51:23,42.6001,-73.9662,36.81,74,100,3.0
6,Zhigansk,RU,2021-12-18 05:55:43,66.7697,123.3711,-33.43,96,91,5.3
7,Waingapu,ID,2021-12-18 05:55:43,-9.6567,120.2641,88.47,69,58,8.84
8,Yellowknife,CA,2021-12-18 05:50:48,62.456,-114.3525,-19.59,82,20,12.66
9,Oranjestad,AW,2021-12-18 05:55:44,12.524,-70.027,78.91,84,76,4.0
10,East London,ZA,2021-12-18 05:53:42,-33.0153,27.9116,65.34,68,0,10.36
11,Ushuaia,AR,2021-12-18 05:55:44,-54.8,-68.3,47.86,87,20,10.36
12,Mukhen,RU,2021-12-18 05:55:44,48.1,136.1,-3.57,84,71,8.14
13,Codrington,AU,2021-12-18 05:55:45,-38.2667,141.9667,67.95,58,59,14.97
14,Susanville,US,2021-12-18 05:55:45,40.4163,-120.653,18.09,92,90,1.3
15,Porto Novo,BJ,2021-12-18 05:55:45,6.4965,2.6036,76.82,81,78,3.87
16,Tiznit,MA,2021-12-18 05:55:46,29.5833,-9.5,53.71,32,1,9.35
17,Ancud,CL,2021-12-18 05:55:46,-41.8697,-73.8203,54.93,91,100,3.09
18,Dargaville,NZ,2021-12-18 05:55:46,-35.9333,173.8833,65.59,64,4,10.13
19,Aykhal,RU,2021-12-18 05:55:47,66.0,111.5,-28.44,98,100,6.49
20,Chokurdakh,RU,2021-12-18 05:55:47,70.6333,147.9167,-37.77,100,100,4.88
21,Saint-Philippe,RE,2021-12-18 05:55:47,-21.3585,55.7679,85.48,71,3,1.21
22,Mataura,NZ,2021-12-18 05:55:48,-46.1927,168.8643,57.47,56,82,7.83
23,Cabo San Lucas,MX,2021-12-18 05:53:42,22.8909,-109.9124,72.52,82,77,2.26
24,Busselton,AU,2021-12-18 05:55:48,-33.65,115.3333,65.08,61,82,17.34
25,Ahipara,NZ,2021-12-18 05:55:48,-35.1667,173.1667,65.5,62,5,10.02
26,Abu Samrah,SY,2021-12-18 05:55:49,35.3029,37.1841,50.72,78,77,16.44
27,Tiksi,RU,2021-12-18 05:55:49,71.6872,128.8694,-24.7,100,100,2.62
28,Puerto Ayora,EC,2021-12-18 05:55:49,-0.7393,-90.3518,68.56,97,67,6.29
29,Smithers,CA,2021-12-18 05:55:50,54.7804,-127.1743,8.92,92,90,3.44
30,Basco,PH,2021-12-18 05:55:50,20.4487,121.9702,71.87,77,100,35.03
31,Esperance,AU,2021-12-18 05:55:50,-33.8667,121.9,82.24,53,76,29.08
32,Jamestown,US,2021-12-18 05:51:12,42.097,-79.2353,34.3,91,75,1.99
33,Littlehampton,GB,2021-12-18 05:55:51,50.8069,-0.5378,47.16,89,67,19.3
34,Georgetown,MY,2021-12-18 05:55:03,5.4112,100.3354,82.33,83,40,1.01
35,Trindade,BR,2021-12-18 05:55:51,-16.6494,-49.4889,69.55,85,96,3.42
36,Rikitea,PF,2021-12-18 05:55:52,-23.1203,-134.9692,75.42,80,78,16.75
37,Lavrentiya,RU,2021-12-18 05:55:52,65.5833,-171.0,6.03,87,100,8.97
38,Okhotsk,RU,2021-12-18 05:55:52,59.3833,143.3,0.03,97,100,11.79
39,Brigantine,US,2021-12-18 05:55:53,39.4101,-74.3646,51.85,43,98,4.47
40,Barrow,US,2021-12-18 05:55:53,71.2906,-156.7887,-10.5,95,99,16.96
41,Henties Bay,NA,2021-12-18 05:55:53,-22.116,14.2845,63.86,83,1,4.7
42,Iskateley,RU,2021-12-18 05:55:54,67.6803,53.1512,-15.14,98,35,7.07
43,Toamasina,MG,2021-12-18 05:55:54,-18.1667,49.3833,82.4,78,20,6.91
44,Saldanha,ZA,2021-12-18 05:55:54,-33.0117,17.9442,71.65,43,2,7.67
45,Bredasdorp,ZA,2021-12-18 05:55:55,-34.5322,20.0403,64.27,72,2,17.27
46,Kodiak,US,2021-12-18 05:55:55,57.79,-152.4072,31.1,71,100,5.88
47,Tasiilaq,GL,2021-12-18 05:56:55,65.6145,-37.6368,21.04,68,80,6.89
48,Punta Arenas,CL,2021-12-18 05:56:56,-53.15,-70.9167,48.31,81,40,3.44
49,Nago,JP,2021-12-18 05:56:56,26.5881,127.9761,64.47,60,90,15.03
